date,mkt_index,rf_index
20181015,6391.959859,20.61866823
20181016,6535.651117,20.62031772
20181017,6530.945448,20.62196734
20181018,6430.891364,20.6236171
20181019,6415.328607,20.62526699
20181022,6391.463585,20.62691701
20181023,6352.347827,20.62856717
20181024,6141.322833,20.63021745
20181025,6260.341669,20.63186787
20181026,6157.546859,20.63351842
20181029,6110.626352,20.6351691
20181030,6212.551599,20.63681991
20181031,6288.841733,20.63847086
20181101,6370.470899,20.64012194
20181102,6337.217041,20.64177315
20181105,6363.072886,20.64342449
20181106,6400.487755,20.64507596
20181107,6536.050085,20.64672757
20181108,6518.272029,20.64837931
20181109,6451.003462,20.65003118
20181112,6318.628871,20.65168318
20181113,6310.920143,20.65333531
20181114,6262.830932,20.65498758
20181115,6337.233363,20.65663998
20181116,6347.246192,20.65829251
20181119,6228.425743,20.65994517
20181120,6113.698141,20.66159797
20181121,6145.367098,20.6632509
20181123,6112.059208,20.66490396
20181126,6211.563532,20.66655715
20181127,6218.893177,20.66821047
20181128,6369.887903,20.66986393
20181129,6356.383741,20.67151752
20181130,6406.472045,20.67317124
20181203,6479.569891,20.67544529
20181204,6256.737482,20.67771959
20181206,6247.414943,20.67999414
20181207,6100.663166,20.68226894
20181210,6107.434902,20.68454399
20181211,6103.220772,20.68681929
20181212,6145.394028,20.68909484
20181213,6130.091997,20.69137064
20181214,6014.907568,20.69364669
20181217,5886.850186,20.69592299
20181218,5885.731684,20.69819954
20181219,5793.384554,20.70047634
20181220,5700.168997,20.7027534
20181221,5577.102348,20.7050307
20181224,5435.49972,20.70730825
20181226,5711.13391,20.70958606
20181227,5756.30898,20.71186411
20181228,5755.215281,20.71414242
20181231,5807.645292,20.71642097
20190102,5821.583641,20.71849261
20190103,5679.537,20.72056446
20190104,5881.728517,20.72263652
20190107,5937.604938,20.72470878
20190108,5998.168508,20.72678125
20190109,6032.358069,20.72885393
20190110,6058.297209,20.73092682
20190111,6058.297209,20.73299991
20190114,6022.553255,20.73507321
20190115,6086.994575,20.73714672
20190116,6104.646859,20.73922043
20190117,6151.042175,20.74129435
20190118,6231.005724,20.74336848
20190122,6136.294437,20.74544282
20190123,6146.112508,20.74751736
20190124,6160.863178,20.74959212
20190125,6216.927033,20.75166707
20190128,6167.813309,20.75374224
20190129,6156.711245,20.75581762
20190130,6250.293256,20.7578932
20190131,6308.420983,20.75996899
20190201,6317.883615,20.76204498
20190204,6364.004165,20.76412119
20190205,6392.005784,20.7661976
20190206,6378.582571,20.76827422
20190207,6319.899612,20.77035105
20190208,6326.219511,20.77242808
20190211,6335.708841,20.77450533
20190212,6422.508052,20.77658278
20190213,6441.133325,20.77866043
20190214,6428.251058,20.7807383
20190215,6501.533121,20.78281637
20190219,6514.536187,20.78489466
20190220,6527.565259,20.78697315
20190221,6504.066024,20.78905184
20190222,6546.99286,20.79113075
20190225,6557.468049,20.79320986
20190226,6547.631846,20.79528918
20190227,6554.179478,20.79736871
20190228,6534.51694,20.79944845
20190301,6582.153568,20.8013204
20190304,6548.518764,20.80319252
20190305,6537.975648,20.8050648
20190306,6483.645071,20.80693726
20190307,6431.062709,20.80880988
20190308,6417.493167,20.81068268
20190311,6513.691389,20.81255564
20190312,6530.56185,20.81442877
20190313,6575.557421,20.81630207
20190314,6569.573664,20.81817553
20190315,6601.698879,20.82004917
20190318,6632.660847,20.82192297
20190319,6627.288392,20.82379695
20190320,6602.038423,20.82567109
20190321,6675.915233,20.8275454
20190322,6531.648705,20.82941988
20190325,6528.970729,20.83129453
20190326,6579.178514,20.83316934
20190327,6546.874747,20.83504433
20190328,6573.651465,20.83691948
20190329,6617.629193,20.83879481
20190401,6697.040744,20.84087868
20190402,6694.361927,20.84296277
20190403,6713.106141,20.84504707
20190404,6726.532353,20.84713157
20190405,6762.182974,20.84921629
20190408,6768.268939,20.85130121
20190409,6724.952018,20.85338634
20190410,6757.904283,20.85547168
20190411,6758.580073,20.85755722
20190412,6803.186702,20.85964298
20190415,6797.744152,20.86172894
20190416,6807.260994,20.86381512
20190417,6786.158485,20.8659015
20190418,6794.301875,20.86798809
20190422,6802.455037,20.87007489
20190423,6869.119097,20.8721619
20190424,6854.007035,20.87424911
20190425,6845.096826,20.87633654
20190426,6882.060349,20.87842417
20190429,6895.136263,20.88051201
20190430,6893.067722,20.88260006
20190501,6836.475636,20.8844795
20190502,6826.152558,20.8863591
20190503,6903.902436,20.88823887
20190506,6877.598567,20.89011881
20190507,6761.986136,20.89199893
20190508,6747.718345,20.89387921
20190509,6729.432028,20.89575965
20190510,6753.590689,20.89764027
