PERMNO,date,SICCD,TICKER,ACPERM,NWPERM,RET
84398,2010-08-31,6726,SPY,,,-0.044980
84398,2010-09-30,6726,SPY,,,0.089470
84398,2010-10-29,6726,SPY,,,0.038202
84398,2010-11-30,6726,SPY,,,0.000021
84398,2010-12-31,6726,SPY,,,0.066757
84398,2011-01-31,6726,SPY,,,0.023300
84398,2011-02-28,6726,SPY,,,0.034737
84398,2011-03-31,6726,SPY,,,-0.000050
84398,2011-04-29,6726,SPY,,,0.028961
84398,2011-05-31,6726,SPY,,,-0.011215
84398,2011-06-30,6726,SPY,,,-0.017067
84398,2011-07-29,6726,SPY,,,-0.020005
84398,2011-08-31,6726,SPY,,,-0.054976
84398,2011-09-30,6726,SPY,,,-0.069097
84398,2011-10-31,6726,SPY,,,0.109147
84398,2011-11-30,6726,SPY,,,-0.004064
84398,2011-12-30,6726,SPY,,,0.010242
84398,2012-01-31,6726,SPY,,,0.046375
84398,2012-02-29,6726,SPY,,,0.043405
84398,2012-03-30,6726,SPY,,,0.032140
84398,2012-04-30,6726,SPY,,,-0.006676
84398,2012-05-31,6726,SPY,,,-0.060056
84398,2012-06-29,6726,SPY,,,0.040490
84398,2012-07-31,6726,SPY,,,0.011792
84398,2012-08-31,6726,SPY,,,0.025053
84398,2012-09-28,6726,SPY,,,0.025428
84398,2012-10-31,6726,SPY,,,-0.018198
84398,2012-11-30,6726,SPY,,,0.005695
84398,2012-12-31,6726,SPY,,,0.008982
84398,2013-01-31,6726,SPY,,,0.051190
84398,2013-02-28,6726,SPY,,,0.012759
84398,2013-03-28,6726,SPY,,,0.037951
84398,2013-04-30,6726,SPY,,,0.019212
84398,2013-05-31,6726,SPY,,,0.023579
84398,2013-06-28,6726,SPY,,,-0.013374
84398,2013-07-31,6726,SPY,,,0.051677
84398,2013-08-30,6726,SPY,,,-0.029992
84398,2013-09-30,6726,SPY,,,0.031763
84398,2013-10-31,6726,SPY,,,0.046307
84398,2013-11-29,6726,SPY,,,0.029638
84398,2013-12-31,6726,SPY,,,0.025803
84398,2014-01-31,6726,SPY,,,-0.035248
84398,2014-02-28,6726,SPY,,,0.045516
84398,2014-03-31,6726,SPY,,,0.008291
84398,2014-04-30,6726,SPY,,,0.006952
84398,2014-05-30,6726,SPY,,,0.023206
84398,2014-06-30,6726,SPY,,,0.020639
84398,2014-07-31,6726,SPY,,,-0.013438
84398,2014-08-29,6726,SPY,,,0.039464
84398,2014-09-30,6726,SPY,,,-0.013705
84398,2014-10-31,6726,SPY,,,0.023551
84398,2014-11-28,6726,SPY,,,0.027472
84398,2014-12-31,6726,SPY,,,-0.002534
84398,2015-01-30,6726,SPY,,,-0.029629
84398,2015-02-27,6726,SPY,,,0.056205
84398,2015-03-31,6726,SPY,,,-0.015661
84398,2015-04-30,6726,SPY,,,0.009834
84398,2015-05-29,6726,SPY,,,0.012856
84398,2015-06-30,6726,SPY,,,-0.020176
84398,2015-07-31,6726,SPY,,,0.022589
84398,2015-08-31,6726,SPY,,,-0.060950
84398,2015-09-30,6726,SPY,,,-0.025328
84398,2015-10-30,6726,SPY,,,0.085060
84398,2015-11-30,6726,SPY,,,0.003655
84398,2015-12-31,6726,SPY,,,-0.017291
84398,2016-01-29,6726,SPY,,,-0.049783
84398,2016-02-29,6726,SPY,,,-0.000830
84398,2016-03-31,6726,SPY,,,0.067212
84398,2016-04-29,6726,SPY,,,0.003945
84398,2016-05-31,6726,SPY,,,0.017008
84398,2016-06-30,6726,SPY,,,0.003400
84398,2016-07-29,6726,SPY,,,0.036496
84398,2016-08-31,6726,SPY,,,0.001198
84398,2016-09-30,6726,SPY,,,0.000010
84398,2016-10-31,6726,SPY,,,-0.017337
84398,2016-11-30,6726,SPY,,,0.036838
84398,2016-12-30,6726,SPY,,,0.020324
84398,2017-01-31,6726,SPY,,,0.017895
84398,2017-02-28,6726,SPY,,,0.039292
84398,2017-03-31,6726,SPY,,,0.001282
84398,2017-04-28,6726,SPY,,,0.009926
84398,2017-05-31,6726,SPY,,,0.014113
84398,2017-06-30,6726,SPY,,,0.006391
84398,2017-07-31,6726,SPY,,,0.020554
84398,2017-08-31,6726,SPY,,,0.002918
84398,2017-09-29,6726,SPY,,,0.020100
84398,2017-10-31,6726,SPY,,,0.023564
84398,2017-11-30,6726,SPY,,,0.030566
84398,2017-12-29,6726,SPY,,,0.012080
84398,2018-01-31,6726,SPY,,,0.056359
84398,2018-02-28,6726,SPY,,,-0.036360
84398,2018-03-29,6726,SPY,,,-0.027253
84398,2018-04-30,6726,SPY,,,0.005168
84398,2018-05-31,6726,SPY,,,0.024309
84398,2018-06-29,6726,SPY,,,0.005852
84398,2018-07-31,6726,SPY,,,0.037047
